"espacio","anio","ocupacion"
"001",2004,0.33027777777777734
"001",2005,0.4651652119700719
"001",2006,0.2875
"001",2008,0.6007575757575757
"002",2003,0
"002",2004,0.39917582417582437
"002",2005,0.23413461538461555
"002",2007,0.7457317073170733
"002",2010,0.3134615384615384
"003",2002,0.4136029411764706
"003",2004,0.31246376811594223
"003",2005,0.7457317073170732
"003",2007,0.04553571428571425
"003",2009,0.4225694444444447
"003",2010,0.45227272727272694
"004",2002,0.31785714285714284
"004",2003,0
"004",2004,0.5063679245283017
"004",2006,0
"004",2009,0.25400000000000006
"005",2005,0.3271276595744682
"005",2014,0.12750000000000003
"005",2016,0
"005",2017,0.002777777777777778
"006",2003,0.09513888888888883
"006",2004,0.36029411764705876
"006",2009,0.6062363238512034
"006",2016,0.0022727272727272726
"006",2017,0.7015176600441487
"007",2003,0.37399497487437217
"007",2005,0.2618680641183723
"007",2006,0.4083333333333333
"007",2008,0.5319852941176466
"007",2009,0.36350849256900125
"008",2003,0.035416666666666666
"008",2004,0.6020833333333334
"008",2005,0.2945420506912444
"008",2008,0.3306451612903225
"008",2016,0.2664062500000002
"009",2003,0.028333333333333332
"009",2004,0.2490384615384616
"009",2005,0.30488997555012176
"009",2006,0.3001644736842105
"009",2009,0.39149999999999985
"009",2018,0.3889344262295082
"010",2002,0.6507284768211923
"010",2003,0.5159090909090914
"010",2007,0.28888888888888875
"010",2008,0.2406250000000001
"011",2002,0.21249999999999994
"011",2003,0.30613207547169813
"011",2004,0.35306122448979593
"011",2005,0.29653253424657544
"011",2006,0.06847826086956522
"011",2007,0
"011",2008,0.36562499999999987
"012",2002,0.22653061224489793
"012",2004,0.3663003663003661
"012",2005,0.16285714285714287
"012",2008,0.35070028011204446
"013",2002,0.22653061224489793
"013",2003,0.0062111801242235995
"013",2005,0.3484456863429969
"013",2006,0.0022857142857142863
"013",2007,0.003174603174603175
"013",2009,0.09841269841269841
"013",2014,0.4750000000000001
"013",2017,0.25986394557823106
"014",2004,0.25655737704918036
"014",2005,0.3075000000000004
"014",2006,0.08201754385964913
"014",2007,0.0019999999999999996
"014",2008,0.5432847082494955
"014",2016,0
"015",2002,0.25599999999999995
"015",2003,0.3386595174262727
"015",2004,0.48178770949720523
"015",2005,0.22799999999999998
"015",2006,0.15239999999999998
"015",2007,0
"015",2008,0.5018181818181818
"015",2011,0.0044444444444444444
"016",2002,0.25599999999999995
"016",2004,0.503451864700779
"016",2005,0.7058823529411762
"016",2006,0.9129195402298854
"016",2007,0.4485950413223143
"016",2008,0.3808928571428576
"016",2010,0.13025641025641022
"016",2011,0
"017",2004,0.488123393316195
"017",2005,0.47236363636363654
"017",2007,0
"017",2008,0.00909090909090909
"017",2009,0.5678260869565224
"017",2011,0
"018",2006,0.003199999999999999
"018",2008,0.665372290292178
"018",2009,0.6408888888888891
"018",2011,0.17176470588235287
"018",2017,0.0044444444444444444
"019",2004,0.055999999999999994
"019",2005,0.5943750000000007
"019",2007,0
"019",2009,0.03977653631284915
"019",2016,0.0325
"020",2003,0
"020",2004,0.34158653846153825
"020",2005,0.3326303317535549
"020",2008,0.4158576814326106
"020",2016,0.07083333333333335
"021",2003,0.1
"021",2004,0.3656249999999998
"021",2005,0.353693181818182
"021",2006,0.11130952380952379
"021",2007,0.10943181818181813
"021",2008,0.2829677956690735
"021",2009,0.4308333333333334
"021",2014,0.12749999999999986
"022",2003,0.0019999999999999996
"022",2005,0.2873271889400916
"022",2006,0.0056818181818181854
"022",2007,0.47491445680068345
"023",2005,0.29413708459214444
"023",2007,0.02838983050847458
"023",2008,0.46385135135135114
"023",2016,0.37487373737373697
"024",2004,0.2357142857142858
"024",2005,0.0020000000000000018
"024",2008,0.36562499999999987
"024",2010,0.005681818181818182
"024",2014,0.2552631578947369
"025",2003,0.0019999999999999996
"025",2004,0.33922619047619057
"025",2005,0.09941077441077448
"025",2006,0.0027777777777777783
"025",2008,0.9673076923076924
"025",2016,0.37487373737373697
"026",2006,0.002040816326530612
"026",2007,0
"026",2015,0.3048899755501218
"026",2016,0.3748737373737373
"027",2003,0.002777777777777778
"027",2004,0.5914497041420124
"027",2005,0.43043478260869567
"027",2006,0
"028",2004,0.3105053191489361
"028",2005,0.2950520833333332
"028",2015,0.3113636363636364
"029",2004,0.3140926640926641
"029",2006,0.12750000000000003
"030",2005,0.0017045454545454542
"030",2007,0.3134615384615383
"030",2016,0.5372596153846153
"031",2004,0.06913183279742774
"031",2007,0
"031",2008,0.39826388888888886
"032",2006,0.3721649484536078
"032",2007,0.40638297872340423
"032",2008,0.034999999999999996
"032",2015,0.4158576814326106
"033",2005,0.36562499999999987
"033",2008,0.40638297872340423
"033",2009,0.3399999999999997
"034",2004,0.24627659574468094
"034",2005,0.30488997555012204
"034",2007,0.11130952380952391
"034",2008,0.3550000000000001
"034",2010,0.4784675615212528
"035",2004,0.29261168384879693
"035",2005,0
"035",2009,0.36282771535580527
"036",2005,0.2861111111111113
"036",2007,0.02
"036",2009,0.175892857142857
"040",2016,0.3742616033755276
"043",2009,0.6263999999999998
"044",2011,0.008274231678487004
"044 A",2015,0.3099999999999998
"045",2010,0.6959528688524599
"046",2009,0.7929050116550118
"102",2004,0.45999999999999985
"102",2007,0.21923076923076923
"103",2003,0.6632275132275135
"103",2008,0.4968532645277078
"103",2010,0.3748737373737372
"104",2009,0.1402173913043477
"104",2010,0.128125
"105",2009,0.6992150706436411
"106",2004,0.34249999999999986
"106",2009,0.7698275862068951
"107",2004,0.28374233128834375
"107",2009,0.7029038718291034
"201",2005,0.28374233128834375
"201",2010,0.09193548387096773
"202",2003,0.5419525065963061
"202",2005,0.3601190476190477
"202",2006,0.36011904761904784
"202",2007,0.4603004291845495
"202",2009,0.07986111111111108
"203",2005,0.4247340425531914
"203",2009,0.29375000000000007
"204",2006,
"204",2009,
"204",2010,
"205",2003,
"205",2004,
"206",2004,0.7198529411764703
"208",2003,0.25144508670520166
"302",2021,0.5344827586206894
"303",2010,0.1879310344827586
"303",2021,0.3
"305",2010,0.3133027522935777
"500",2003,0.5142857142857142
"501",2003,0.2208333333333333
"501",2008,0.2409090909090909
"502",2010,0.08928571428571426
"AU101",2018,0.5946874999999996
"AU102",2018,0.6713717693836979
"AU106",2018,0.8346153846153845
"AU106",2019,0.6785294117647066
"AU107",2018,0.687
"AU107",2019,0.7530555555555559
"AU109",2019,0.6972058823529416
"AU110",2019,0.6783613445378149
"AU111",2019,0.505844155844156
"AU201",2018,0.7100346020761249
"AU201",2019,0.6972058823529408
"AU202",2017,0.563662790697675
"AU202",2018,0.7255813953488366
"AU202",2019,0.7018421052631574
"AU302",2018,0.48613569321533967
"AU302",2019,0.5727653631284918
"AU303",2018,0.45597527472527527
"AU402",2018,0.5891843971631213
"AU403",2018,0.5962264150943394
"AU502",2018,0.4997395833333334
"BIB6",2008,0.06250000000000001
"BIC",2003,0.07499999999999998
"C01",2003,0.5859728506787332
"CB1",2005,0.1111111111111111
"CB1",2009,0.4932659932659928
"CB1",2010,0.12157534246575366
"CB3",2008,1.3861922714420307
"CB3",2009,0.40196078431372534
"CB3",2010,0.412280701754386
"CB4",2008,0.2763157894736844
"CB4",2009,0.19262981574539356
"CB5",2009,0.5112612612612613
"CC1",2003,0.23104838709677478
"CC2",2003,0.21311855670103017
"CC3",2003,0.536821266968326
"CC4",2003,0.3346556886227555
"CC5",2003,0.31261261261261275
"CC6",2003,0.3426829268292684
"CUC",2003,0.5362864077669902
"EAL",2003,0.3767857142857143
"KARAOKE",2017,0.14222222222222225
"KARAOKE",2019,0
"L01",2002,0.3171428571428571
"LAB",2009,0.45625
"LAB S4",2018,0.3982089552238805
"LAYN",2009,0.3610714285714286
"LCP1",2007,0.33333333333333337
"LCP1",2008,0.7000000000000001
"LCP2",2008,0.33333333333333337
"LCP2",2010,0.4399999999999998
"LLET",2021,0.3881159420289854
"LMICRO",2010,0.7575757575757576
"LOIE",2021,1.0228758169934644
"LRN",2021,0.6505376344086023
"PLY",2004,0.4206896551724138
"S101",2016,0.8105990783410136
"S101",2017,0.47571428571428576
"S102",2017,0.9751111111111114
"S103",2018,0.6857142857142857
"S104",2014,0.7282112845138058
"S104",2016,0.28459383753501377
"S104",2018,0.6197468354430381
"S106",2018,0.7534693877551019
"S201",2018,0.696507936507937
"S202",2019,0.7364806866952784
"S203",2018,0.5781512605042015
"S206",2018,0.5688699360341155
"S304",2016,0.6304659498207885
"S304",2018,0.6361611611611608
"SA1",2006,0.032390572390572435
"SA1",2007,0
"SA1",2008,0.03977011494252874
"SA1",2017,0.010833333333333332
"SA1",2018,0.14629107981220674
"SAC",2003,0
"SAC",2005,0.01828828828828829
"SAC",2006,0.0163587684069612
"SAC",2008,0.0006649168853893264
"SAC",2012,0.009481481481481488
"SAC-SPEAKE",2017,0.06770833333333334
"SACZ",2010,1.1899999999999997
"SAI",2016,0.4158576814326106
"SAK",2008,0.3186111111111113
"SC",2004,1.200740740740741
"SUM-SAC",2016,0.005555555555555556
"SUM-SAC",2017,0.4519607843137256
"SUM-SAC",2018,0.563571428571429
"SUM-SAC",2019,0.275
"TO4",2002,0.6
